,taxon_oid,file_name,file_id_list
65,3300021362,Table_8_-_3300021362.taxonomic_composition.txt,59fb7ba27ded5e41c3062d6b
117,3300021362,Table_8_-_3300038386.taxonomic_composition.txt,5e7afe2a76b4483f14abf673
31,3300021363,Table_8_-_3300021363.taxonomic_composition.txt,59fb7a177ded5e41c3062d0c
27,3300021364,Table_8_-_3300021364.taxonomic_composition.txt,59fb803c7ded5e41c3062da8
37,3300021365,Table_8_-_3300021365.taxonomic_composition.txt,59fb83dc7ded5e41c3062e23
41,3300021368,Table_8_-_3300021368.taxonomic_composition.txt,59fb8b787ded5e41c3062edc
35,3300021371,Table_8_-_3300021371.taxonomic_composition.txt,59fb8e1d7ded5e41c3062ef8
38,3300021372,Table_8_-_3300021372.taxonomic_composition.txt,59fb96d57ded5e41c3062f67
12,3300021373,Table_8_-_3300021373.taxonomic_composition.txt,59fb98417ded5e41c3062f8c
9,3300021374,Table_8_-_3300039443.taxonomic_composition.txt,5ef134f044166b23de9bf704
38,3300021374,Table_8_-_3300021374.taxonomic_composition.txt,59fbae5d7ded5e41c3063132
32,3300021375,Table_8_-_3300021375.taxonomic_composition.txt,59fba2f47ded5e41c3062fdd
40,3300021377,Table_8_-_3300021377.taxonomic_composition.txt,59fbc2567ded5e41c30631a8
25,3300021378,Table_8_-_3300021378.taxonomic_composition.txt,59fbbc447ded5e41c306317a
30,3300021379,Table_8_-_3300021379.taxonomic_composition.txt,59fbcd5c7ded5e41c3063210
70,3300021384,Table_8_-_3300039454.taxonomic_composition.txt,5ef3928e1145189bcc461123
94,3300021384,Table_8_-_3300021384.taxonomic_composition.txt,59fbe1b97ded5e41c306326f
13,3300021388,Table_8_-_3300037853.taxonomic_composition.txt,5e6aad55a56e99302d8fcc7e
47,3300021388,Table_8_-_3300021388.taxonomic_composition.txt,59fbf98b7ded5e41c30632d3
30,3300021389,Table_8_-_3300021389.taxonomic_composition.txt,59fc0c2a7ded5e41c30632fc
9,3300021401,Table_8_-_3300021401.taxonomic_composition.txt,59fccb907ded5e41c3064a3f
7,3300021402,Table_8_-_3300021402.taxonomic_composition.txt,59fd20397ded5e41c3064c18
6,3300021403,Table_8_-_3300021403.taxonomic_composition.txt,59fd21607ded5e41c3064c44
17,3300021404,Table_8_-_3300021404.taxonomic_composition.txt,59fd20827ded5e41c3064c31
11,3300021405,Table_8_-_3300021405.taxonomic_composition.txt,59fd3fe37ded5e41c30654b0
26,3300021406,Table_8_-_3300021406.taxonomic_composition.txt,59fd59a27ded5e41c306565d
23,3300021407,Table_8_-_3300021407.taxonomic_composition.txt,59fd62117ded5e41c3065708
7,3300021408,Table_8_-_3300021408.taxonomic_composition.txt,59fd51bd7ded5e41c30655dc
12,3300021409,Table_8_-_3300021409.taxonomic_composition.txt,59fd5b7a7ded5e41c3065674
7,3300021410,Table_8_-_3300021410.taxonomic_composition.txt,59fd5c917ded5e41c3065687
15,3300021411,Table_8_-_3300021411.taxonomic_composition.txt,59fd60717ded5e41c30656f5
21,3300021412,Table_8_-_3300021412.taxonomic_composition.txt,59fd60667ded5e41c30656e2
41,3300021413,Table_8_-_3300021413.taxonomic_composition.txt,59fd639d7ded5e41c306571b
7,3300021414,Table_8_-_3300021414.taxonomic_composition.txt,59fd65c27ded5e41c3065783
41,3300021415,Table_8_-_3300021415.taxonomic_composition.txt,59fd69897ded5e41c30657ef
44,3300021416,Table_8_-_3300021416.taxonomic_composition.txt,59fd6d657ded5e41c3065802
35,3300021417,Table_8_-_3300021417.taxonomic_composition.txt,59fd708a7ded5e41c3065817
9,3300021418,Table_8_-_3300021418.taxonomic_composition.txt,59fd74bb7ded5e41c306584b
18,3300021420,Table_8_-_3300021420.taxonomic_composition.txt,59fd991a7ded5e41c3065949
22,3300021425,Table_8_-_3300021425.taxonomic_composition.txt,59fe1a807ded5e41c3065a41
37,3300021432,Table_8_-_3300021432.taxonomic_composition.txt,59ffe60b7ded5e41c3065ce1
42,3300021433,Table_8_-_3300021433.taxonomic_composition.txt,5a00cd0f7ded5e41c3065ea3
10,3300021438,Table_8_-_3300021438.taxonomic_composition.txt,5a017c1d7ded5e41c3066bde
65,3300021439,Table_8_-_3300021439.taxonomic_composition.txt,5a018f1c7ded5e41c3066c15
95,3300021439,Table_8_-_3300039440.taxonomic_composition.txt,5ef2373a1145189bcc460e56
117,3300021439,Table_8_-_3300038405.taxonomic_composition.txt,5e7df57d76b4483f14ac009e
15,3300021440,Table_8_-_3300021440.taxonomic_composition.txt,5a018bfa7ded5e41c3066bfe
12,3300021441,Table_8_-_3300021441.taxonomic_composition.txt,5a019c417ded5e41c3066c43
23,3300021442,Table_8_-_3300021442.taxonomic_composition.txt,5a01aaa87ded5e41c3066c70
36,3300021443,Table_8_-_3300021443.taxonomic_composition.txt,5a01b9b87ded5e41c3066cc0
7,3300021444,Table_8_-_3300021444.taxonomic_composition.txt,5a01e6397ded5e41c3066dac
66,3300021444,Table_8_-_3300039441.taxonomic_composition.txt,5ef249f51145189bcc460e89
34,3300021452,Table_8_-_3300021452.taxonomic_composition.txt,5a0297a47ded5e41c30672b9
16,3300021453,Table_8_-_3300021453.taxonomic_composition.txt,5a0296447ded5e41c30672a6
36,3300021455,Table_8_-_3300021455.taxonomic_composition.txt,5a0299137ded5e41c30672e1
12,3300021456,Table_8_-_3300021456.taxonomic_composition.txt,5a029b6e7ded5e41c30672f4
28,3300021458,Table_8_-_3300021458.taxonomic_composition.txt,5a029efa7ded5e41c3067320
22,3300021459,Table_8_-_3300021459.taxonomic_composition.txt,5a029f607ded5e41c3067336
17,3300021460,Table_8_-_3300021460.taxonomic_composition.txt,5a02a09a7ded5e41c3067349
32,3300021463,Table_8_-_3300021463.taxonomic_composition.txt,5a02a39e7ded5e41c306735d
20,3300021464,Table_8_-_3300021464.taxonomic_composition.txt,5a02a7a57ded5e41c3067374
36,3300021465,Table_8_-_3300021465.taxonomic_composition.txt,5a02ab387ded5e41c30673ad
47,3300021467,Table_8_-_3300021467.taxonomic_composition.txt,5a02bef27ded5e41c30673eb
44,3300021468,Table_8_-_3300021468.taxonomic_composition.txt,5a02d2457ded5e41c3067433
16,3300021469,Table_8_-_3300021469.taxonomic_composition.txt,5a02d19d7ded5e41c306740d
26,3300021470,Table_8_-_3300021470.taxonomic_composition.txt,5a02d21f7ded5e41c3067420
27,3300021471,Table_8_-_3300021471.taxonomic_composition.txt,5a02e0427ded5e41c3067461
21,3300021472,Table_8_-_3300021472.taxonomic_composition.txt,5a02df327ded5e41c306744e
17,3300021473,Table_8_-_3300021473.taxonomic_composition.txt,5a02e8967ded5e41c3067478
20,3300021474,Table_8_-_3300021474.taxonomic_composition.txt,5a038bd87ded5e41c306759b
31,3300021475,Table_8_-_3300021475.taxonomic_composition.txt,5a0410da7ded5e41c3067b6c
6,3300021476,Table_8_-_3300021476.taxonomic_composition.txt,5a044db37ded5e41c3067ebc
30,3300021477,Table_8_-_3300021477.taxonomic_composition.txt,5a04c2ff7ded5e41c306808b
42,3300021478,Table_8_-_3300021478.taxonomic_composition.txt,5a04fec37ded5e41c30681fc
38,3300021479,Table_8_-_3300021479.taxonomic_composition.txt,5a051cff7ded5e41c30682a9
20,3300021482,Table_8_-_3300021482.taxonomic_composition.txt,5a054d807ded5e41c30683d0
31,3300021483,Table_8_-_3300021483.taxonomic_composition.txt,5a054d897ded5e41c30683e3
9,3300021484,Table_8_-_3300021484.taxonomic_composition.txt,5a0546c97ded5e41c30683a8
5,3300021485,Table_8_-_3300021485.taxonomic_composition.txt,5a054e617ded5e41c30683f6
41,3300021486,Table_8_-_3300021486.taxonomic_composition.txt,5a0552eb7ded5e41c3068448
43,3300021487,Table_8_-_3300021487.taxonomic_composition.txt,5a05530e7ded5e41c306845d
39,3300021488,Table_8_-_3300021488.taxonomic_composition.txt,5a0552d77ded5e41c3068431
36,3300021489,Table_8_-_3300021489.taxonomic_composition.txt,5a0559527ded5e41c30684b4
18,3300021490,Table_8_-_3300021490.taxonomic_composition.txt,5a05594b7ded5e41c30684a2
11,3300021491,Table_8_-_3300021491.taxonomic_composition.txt,5a0558f27ded5e41c306848e
5,3300021492,Table_8_-_3300021492.taxonomic_composition.txt,5a0562d87ded5e41c30684da
30,3300021493,Table_8_-_3300021493.taxonomic_composition.txt,5a0566447ded5e41c3068505
39,3300021494,Table_8_-_3300021494.taxonomic_composition.txt,5a0566397ded5e41c30684f2
38,3300021495,Table_8_-_3300021495.taxonomic_composition.txt,5a05675a7ded5e41c3068518
